,Document Name,Category,Original Metadata,Metadata Match,Context,Possible Matches
266,FHLB_Chicago_2016_Renewal.pdf,Date,Renewal Term,Renewal Term,"The term of this Agreement will renew automnatically on its same terms for successive one-year terms unless either party terminates the Agreement after the initial term and upon sixty (60) days' prior written notice of renewal.3.2 Termination for Cause, Either party may terminate this Agreement immediately: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other party; or (b) if either party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.","['sixty', ""60) days'"", 'one-year']"
268,FHLB_Chicago_2016_Renewal.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"The term of this Agreement will renew automnatically on its same terms for successive one-year terms unless either party terminates the Agreement after the initial term and upon sixty (60) days' prior written notice of renewal.3.2 Termination for Cause, Either party may terminate this Agreement immediately: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other party; or (b) if either party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.",[]
275,FHLB_Chicago_2016_Renewal.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"3.2 Termination for Cause, Either party may terminate this Agreement immediately: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other party; or (b) if either party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.",[]
276,FHLB_Chicago_2016_Renewal.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms","3.2 Termination for Cause, Either party may terminate this Agreement immediately: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other party; or (b) if either party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.",[]
278,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.",[]
280,FHLB_Chicago_2016_Renewal.pdf,Agreement,breach,breach,"Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.",[]
286,FHLB_Chicago_2016_Renewal.pdf,Fee,License Fee,License Fee,"Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.",[]
287,FHLB_Chicago_2016_Renewal.pdf,Fee,License Fee,License Fee,"Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.",[]
299,FHLB_Chicago_2016_Renewal.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.",[]
300,FHLB_Chicago_2016_Renewal.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms","Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.",[]
304,FHLB_Chicago_2016_Renewal.pdf,Agreement,breach,breach,"If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.3.3 Effects of Termination.",['License fees.3.3 Effects of Termination']
307,FHLB_Chicago_2016_Renewal.pdf,Fee,License Fee,License Fee,"If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.3.3 Effects of Termination.",[]
316,FHLB_Chicago_2016_Renewal.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.3.3 Effects of Termination.Upon expiration or termination of this Agreement, (a) Customer shall: (i) cease using the Services; and (ii) certify to MetricStream within one month after expiration or termination that Customer has destroyed or has returned to Metric Stream all related documentation and copies thereof; and (b) Metric Stream shall return to Customer all data furnished by Customer in connection with this Agreement, however any Metric Stream Services required to migrate Customer's data to other systems will be charged at MetricStream's then current services rates.",['License fees.3.3 Effects of Termination']
323,FHLB_Chicago_2016_Renewal.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"3.3 Effects of Termination.Upon expiration or termination of this Agreement, (a) Customer shall: (i) cease using the Services; and (ii) certify to MetricStream within one month after expiration or termination that Customer has destroyed or has returned to Metric Stream all related documentation and copies thereof; and (b) Metric Stream shall return to Customer all data furnished by Customer in connection with this Agreement, however any Metric Stream Services required to migrate Customer's data to other systems will be charged at MetricStream's then current services rates.Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.",[]
332,FHLB_Chicago_2016_Renewal.pdf,Fee,License Fee,License Fee,"Upon expiration or termination of this Agreement, (a) Customer shall: (i) cease using the Services; and (ii) certify to MetricStream within one month after expiration or termination that Customer has destroyed or has returned to Metric Stream all related documentation and copies thereof; and (b) Metric Stream shall return to Customer all data furnished by Customer in connection with this Agreement, however any Metric Stream Services required to migrate Customer's data to other systems will be charged at MetricStream's then current services rates.Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.",[]
336,FHLB_Chicago_2016_Renewal.pdf,Fee,Support Fee,Support Fee,"Upon expiration or termination of this Agreement, (a) Customer shall: (i) cease using the Services; and (ii) certify to MetricStream within one month after expiration or termination that Customer has destroyed or has returned to Metric Stream all related documentation and copies thereof; and (b) Metric Stream shall return to Customer all data furnished by Customer in connection with this Agreement, however any Metric Stream Services required to migrate Customer's data to other systems will be charged at MetricStream's then current services rates.Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.",[]
338,FHLB_Chicago_2016_Renewal.pdf,Financial,Payment term,Payment term,"Upon expiration or termination of this Agreement, (a) Customer shall: (i) cease using the Services; and (ii) certify to MetricStream within one month after expiration or termination that Customer has destroyed or has returned to Metric Stream all related documentation and copies thereof; and (b) Metric Stream shall return to Customer all data furnished by Customer in connection with this Agreement, however any Metric Stream Services required to migrate Customer's data to other systems will be charged at MetricStream's then current services rates.Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.",[]
339,FHLB_Chicago_2016_Renewal.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"Upon expiration or termination of this Agreement, (a) Customer shall: (i) cease using the Services; and (ii) certify to MetricStream within one month after expiration or termination that Customer has destroyed or has returned to Metric Stream all related documentation and copies thereof; and (b) Metric Stream shall return to Customer all data furnished by Customer in connection with this Agreement, however any Metric Stream Services required to migrate Customer's data to other systems will be charged at MetricStream's then current services rates.Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.",[]
345,FHLB_Chicago_2016_Renewal.pdf,Financial,Payment term,Payment term,"Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.In the event of termination, within 5 business days, Metric Stream shall provide a backup copy of Customer's database and application files in a VMWare instance of the production database on an encrypted hard drive provided by Customer.",[]
346,FHLB_Chicago_2016_Renewal.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.In the event of termination, within 5 business days, Metric Stream shall provide a backup copy of Customer's database and application files in a VMWare instance of the production database on an encrypted hard drive provided by Customer.",[]
353,FHLB_Chicago_2016_Renewal.pdf,Agreement,backup,backup,"All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.In the event of termination, within 5 business days, Metric Stream shall provide a backup copy of Customer's database and application files in a VMWare instance of the production database on an encrypted hard drive provided by Customer.Metric Stream will work with Customer to ensure a smooth transition or wind-down of Services to Customer or a third party at the applicable hourly rates.",[]
355,FHLB_Chicago_2016_Renewal.pdf,Financial,Payment term,Payment term,"All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.In the event of termination, within 5 business days, Metric Stream shall provide a backup copy of Customer's database and application files in a VMWare instance of the production database on an encrypted hard drive provided by Customer.Metric Stream will work with Customer to ensure a smooth transition or wind-down of Services to Customer or a third party at the applicable hourly rates.",[]
356,FHLB_Chicago_2016_Renewal.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.In the event of termination, within 5 business days, Metric Stream shall provide a backup copy of Customer's database and application files in a VMWare instance of the production database on an encrypted hard drive provided by Customer.Metric Stream will work with Customer to ensure a smooth transition or wind-down of Services to Customer or a third party at the applicable hourly rates.",[]
373,FHLB_Chicago_2016_Renewal.pdf,Legal,Client Consent required to assign - Y/N,Client Consent,"During the transition or wind-down period, Metric Stream shall provide the related Services and provide the deliverables, in accordance with the applicable SOW and transition plan, INDEMNITY 4.1 By Metric Stream.Metric Stream will defend, indemnify and hold Custoiner harmless against any costs (including reasonable legal costs), expenses or damages suffered or incurred by Customer arising out of any claim by a third party that the normal operation or use of the Software by Customer infringes the intellectual property rights of such third party, provided (a) Customer notifies Metric Stream promptly in writing of any such claim; (b) Customer does not enter into any settlement or compromise of any claim without the MetricStream's prior written consent; and (c) MetricStream has sole 3|Page 1.02 April 2010    MetricStream control of any such action or settlement negotiations and Customer provides Metric Stream with information and assistance, at Metric Stream's expense, necessary to settle or defend such claim.Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.",[]
378,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"Metric Stream will defend, indemnify and hold Custoiner harmless against any costs (including reasonable legal costs), expenses or damages suffered or incurred by Customer arising out of any claim by a third party that the normal operation or use of the Software by Customer infringes the intellectual property rights of such third party, provided (a) Customer notifies Metric Stream promptly in writing of any such claim; (b) Customer does not enter into any settlement or compromise of any claim without the MetricStream's prior written consent; and (c) MetricStream has sole 3|Page 1.02 April 2010    MetricStream control of any such action or settlement negotiations and Customer provides Metric Stream with information and assistance, at Metric Stream's expense, necessary to settle or defend such claim.Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.If none of the foregoing is possible and iſ such Software or Services are found to infringe by a court of competent jurisdiction, Customer will have the right, in its sole discretion, to terminate this Agreement or the relevant Order Form or SOW with respect to such Software or Services, in which case MeiricStream will refund to Customer all amounts paid by Customer for access and use of such Software or Services.",[]
384,FHLB_Chicago_2016_Renewal.pdf,Fee,License Fee,License Fee,"Metric Stream will defend, indemnify and hold Custoiner harmless against any costs (including reasonable legal costs), expenses or damages suffered or incurred by Customer arising out of any claim by a third party that the normal operation or use of the Software by Customer infringes the intellectual property rights of such third party, provided (a) Customer notifies Metric Stream promptly in writing of any such claim; (b) Customer does not enter into any settlement or compromise of any claim without the MetricStream's prior written consent; and (c) MetricStream has sole 3|Page 1.02 April 2010    MetricStream control of any such action or settlement negotiations and Customer provides Metric Stream with information and assistance, at Metric Stream's expense, necessary to settle or defend such claim.Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.If none of the foregoing is possible and iſ such Software or Services are found to infringe by a court of competent jurisdiction, Customer will have the right, in its sole discretion, to terminate this Agreement or the relevant Order Form or SOW with respect to such Software or Services, in which case MeiricStream will refund to Customer all amounts paid by Customer for access and use of such Software or Services.",[]
388,FHLB_Chicago_2016_Renewal.pdf,Fee,Support Fee,Support Fee,"Metric Stream will defend, indemnify and hold Custoiner harmless against any costs (including reasonable legal costs), expenses or damages suffered or incurred by Customer arising out of any claim by a third party that the normal operation or use of the Software by Customer infringes the intellectual property rights of such third party, provided (a) Customer notifies Metric Stream promptly in writing of any such claim; (b) Customer does not enter into any settlement or compromise of any claim without the MetricStream's prior written consent; and (c) MetricStream has sole 3|Page 1.02 April 2010    MetricStream control of any such action or settlement negotiations and Customer provides Metric Stream with information and assistance, at Metric Stream's expense, necessary to settle or defend such claim.Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.If none of the foregoing is possible and iſ such Software or Services are found to infringe by a court of competent jurisdiction, Customer will have the right, in its sole discretion, to terminate this Agreement or the relevant Order Form or SOW with respect to such Software or Services, in which case MeiricStream will refund to Customer all amounts paid by Customer for access and use of such Software or Services.",[]
393,FHLB_Chicago_2016_Renewal.pdf,Legal,Client Consent required to assign - Y/N,Client Consent,"Metric Stream will defend, indemnify and hold Custoiner harmless against any costs (including reasonable legal costs), expenses or damages suffered or incurred by Customer arising out of any claim by a third party that the normal operation or use of the Software by Customer infringes the intellectual property rights of such third party, provided (a) Customer notifies Metric Stream promptly in writing of any such claim; (b) Customer does not enter into any settlement or compromise of any claim without the MetricStream's prior written consent; and (c) MetricStream has sole 3|Page 1.02 April 2010    MetricStream control of any such action or settlement negotiations and Customer provides Metric Stream with information and assistance, at Metric Stream's expense, necessary to settle or defend such claim.Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.If none of the foregoing is possible and iſ such Software or Services are found to infringe by a court of competent jurisdiction, Customer will have the right, in its sole discretion, to terminate this Agreement or the relevant Order Form or SOW with respect to such Software or Services, in which case MeiricStream will refund to Customer all amounts paid by Customer for access and use of such Software or Services.",[]
395,FHLB_Chicago_2016_Renewal.pdf,Product,License Type,License Type,"Metric Stream will defend, indemnify and hold Custoiner harmless against any costs (including reasonable legal costs), expenses or damages suffered or incurred by Customer arising out of any claim by a third party that the normal operation or use of the Software by Customer infringes the intellectual property rights of such third party, provided (a) Customer notifies Metric Stream promptly in writing of any such claim; (b) Customer does not enter into any settlement or compromise of any claim without the MetricStream's prior written consent; and (c) MetricStream has sole 3|Page 1.02 April 2010    MetricStream control of any such action or settlement negotiations and Customer provides Metric Stream with information and assistance, at Metric Stream's expense, necessary to settle or defend such claim.Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.If none of the foregoing is possible and iſ such Software or Services are found to infringe by a court of competent jurisdiction, Customer will have the right, in its sole discretion, to terminate this Agreement or the relevant Order Form or SOW with respect to such Software or Services, in which case MeiricStream will refund to Customer all amounts paid by Customer for access and use of such Software or Services.",[]
397,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.If none of the foregoing is possible and iſ such Software or Services are found to infringe by a court of competent jurisdiction, Customer will have the right, in its sole discretion, to terminate this Agreement or the relevant Order Form or SOW with respect to such Software or Services, in which case MeiricStream will refund to Customer all amounts paid by Customer for access and use of such Software or Services.Any termination of this Agreement or any Order Form or SOW by Customer under this Section will be without prejudice to any other rights and remedies that Customer inay have under this Agreement or at law or in equity.",[]
399,FHLB_Chicago_2016_Renewal.pdf,Date,Renewal Term,Renewal Term,"Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.If none of the foregoing is possible and iſ such Software or Services are found to infringe by a court of competent jurisdiction, Customer will have the right, in its sole discretion, to terminate this Agreement or the relevant Order Form or SOW with respect to such Software or Services, in which case MeiricStream will refund to Customer all amounts paid by Customer for access and use of such Software or Services.Any termination of this Agreement or any Order Form or SOW by Customer under this Section will be without prejudice to any other rights and remedies that Customer inay have under this Agreement or at law or in equity.",[]
