,Category,Original_Keyword,Searched_Keyword,sentence_number,Text,Secondary_Term,Secondary_Synonym,Secondary_Context
55,Time,days,days,18,The recovery of Time Objectives (RTO) is less than seven (7) days and the recovery of Point Objectives to the time of crash is less than 24 hours.,[],[],
56,Agreement,backup,backup,19,"Backup application servers are not used, nor are redundant locations.",[],[],
57,Time,hours,hour,20,"If data from the system is accidentally deleted by Licensee, restoration of this data may be charged at MetricStream's then current hourly rates.",[],[],
58,Product,license,license,20,"If data from the system is accidentally deleted by Licensee, restoration of this data may be charged at MetricStream's then current hourly rates.",[],[],
59,Product,license,license,21,o Network Connectivity A 100GB/month bandwidth will be provided to Licensee.,[],[],
60,Product,license,license,23,Access to the Internet from the Licensee's site and/or computers will be the responsibility of the Licensee.,[],[],
61,Time,days,days,24,"24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.",['30'],['30'],"Access to the Internet from the Licensee's site and/or computers will be the responsibility of the Licensee.24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.1.2 ""Cloud Application"" means the Metric Stream software application to be made available to Customer as part of the Cloud Services."
62,Time,term,condition,24,"24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.",['order'],['order'],"Access to the Internet from the Licensee's site and/or computers will be the responsibility of the Licensee.24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.1.2 ""Cloud Application"" means the Metric Stream software application to be made available to Customer as part of the Cloud Services."
63,Time,term,term,24,"24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.",['order'],['order'],"Access to the Internet from the Licensee's site and/or computers will be the responsibility of the Licensee.24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.1.2 ""Cloud Application"" means the Metric Stream software application to be made available to Customer as part of the Cloud Services."
64,Agreement,agreement,agreement,24,"24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.",[],[],
65,Agreement,backup,backup,24,"24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.",[],[],
66,Legal,term,condition,24,"24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.",['order'],['order'],"Access to the Internet from the Licensee's site and/or computers will be the responsibility of the Licensee.24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.1.2 ""Cloud Application"" means the Metric Stream software application to be made available to Customer as part of the Cloud Services."
67,Legal,term,term,24,"24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.",['order'],['order'],"Access to the Internet from the Licensee's site and/or computers will be the responsibility of the Licensee.24/7 Network Operations Center (NOC) and Service Operations Control (SOC) o Network Intrusion Detection System (NDS)) Host Intrusion Detection System (HDS) Third party Identity Access Management (IAM) integration (LDAP/AD/SSO) Encryption-in-transit o Encrypted Backup (Disk onsite and offsite) 30 days IP Filtering o Compliance - SOC2, and HIPAA OOOOOO 21 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream APPLICATION SERVICE PROVIDER TERMS AND CONDITIONS 1.0 DEFINITIONS 1.1 ""Cloud Services” or “Services” means the network access, monitoring and maintenance of the MetricStream Software and related services, as described in Exhibit A (Order Form) and Service Level Agreement.1.2 ""Cloud Application"" means the Metric Stream software application to be made available to Customer as part of the Cloud Services."
68,Legal,contract,reduce,26,"1.3 “Confidential Information"" means that information of either Party (“Disclosing Party"") which is disclosed to the other Party (“Receiving Party'), in written form and marked as ""Confidential"" or ""Proprietary"" or similar designation, or if disclosed orally, or by demonstration or other intangible form, is identified as confidential at the time of disclosure as confidential and reduced to a confidential writing or summary within a reasonable time after initial disclosure.",[],[],
69,Legal,contract,contract,27,"Confidential Information shall include, but not be limited to, trade secrets, know-how, inventions, techniques, processes, algorithms, all training and procedural materials developed by MetricStream in conjunction with the use or installation of the MetricStream Cloud Application, Cloud Application, source code, schematics, designs, contracts, customer lists, financial information, product plans, sales and marketing plans and business information.",[],[],
70,Agreement,agreement,agreement,28,"References to either Party as a Receiving Party or a Disclosing Party shall also include all of such Party's Affiliates, subject to the restrictions contained in this Agreement.",[],[],
71,Agreement,agreement,agreement,30,"Nothing in this Agreement shall prevent the Receiving Party from disclosing Confidential Information to the extent the Receiving Party is legally compelled to do so by any governmental investigative or judicial agency pursuant to proceedings over which such agency has jurisdiction; provided, however, that prior to any such disclosure, the Receiving Party shall: (i) assert the confidential nature of the Confidential Information to the agency; (ii) immediately notify the Disclosing Party in writing of the agency's order or request to disclose; and (iii) cooperate with the Disclosing Party in protecting against any such disclosure and/or obtaining a protective order narrowing the scope of the compelled disclosure and protecting its confidentiality.",[],[],
72,Legal,legal,legal,30,"Nothing in this Agreement shall prevent the Receiving Party from disclosing Confidential Information to the extent the Receiving Party is legally compelled to do so by any governmental investigative or judicial agency pursuant to proceedings over which such agency has jurisdiction; provided, however, that prior to any such disclosure, the Receiving Party shall: (i) assert the confidential nature of the Confidential Information to the agency; (ii) immediately notify the Disclosing Party in writing of the agency's order or request to disclose; and (iii) cooperate with the Disclosing Party in protecting against any such disclosure and/or obtaining a protective order narrowing the scope of the compelled disclosure and protecting its confidentiality.",['customer'],['customer'],"The obligations set forth in Section 7 shall not apply to the extent that Confidential Information includes information which is: (a) now or hereafter, through no unauthorized act or failure to act on the Receiving Party's part, in the public domain; (b) known to the Receiving Party without an obligation of confidentiality at the time the Receiving Party receives the same from the Disclosing Party, as evidenced by written records; (c) hereafter furnished to the Receiving Party by a third party as a matter of right and without restriction on disclosure; (d) furnished to others by the Disclosing Party without restriction on disclosure; or (e) independently developed by the Receiving Party without use of the Disclosing Party's Confidential Information.Nothing in this Agreement shall prevent the Receiving Party from disclosing Confidential Information to the extent the Receiving Party is legally compelled to do so by any governmental investigative or judicial agency pursuant to proceedings over which such agency has jurisdiction; provided, however, that prior to any such disclosure, the Receiving Party shall: (i) assert the confidential nature of the Confidential Information to the agency; (ii) immediately notify the Disclosing Party in writing of the agency's order or request to disclose; and (iii) cooperate with the Disclosing Party in protecting against any such disclosure and/or obtaining a protective order narrowing the scope of the compelled disclosure and protecting its confidentiality.1.4 ""Customer Owned Materials"" Customer Owned Materials mean the Work Product, except for Metric Stream's Preexisting Works."
73,Person,name,name,33,"1.6 ""Intellectual Property Rights” means all of the following in any jurisdiction throughout the world and whether existing now or in the future: (a) patents and patent disclosures; (b) copyrights and copyrightable works; (c) trademarks, service marks, trade dress, trade name, logos, and other designations a party uses in connection with its business (whether registered or unregistered); (d) trade secrets and know-how; (e) any other proprietary or intellectual property rights.",[],[],
74,Agreement,agreement,agreement,35,"1.8 ""Order Form” means MetricStream's then-current standard form for ordering Services attached to this Agrecment or added to this Agreement from time to time.",[],[],
75,Time,date,date,36,Each Order Form shall be consecutively numbered and shall reference the MetricStream Agreement number above and the Effective Date of this Agreement.,['effective'],['effective'],"1.8 ""Order Form” means MetricStream's then-current standard form for ordering Services attached to this Agrecment or added to this Agreement from time to time.Each Order Form shall be consecutively numbered and shall reference the MetricStream Agreement number above and the Effective Date of this Agreement.Customer's initial purchase of Cloud Services is reflected in Order Form No."
76,Agreement,agreement,agreement,36,Each Order Form shall be consecutively numbered and shall reference the MetricStream Agreement number above and the Effective Date of this Agreement.,[],[],
77,Agreement,agreement,agreement,38,"1, attached hereto as Exhibit A to the Agreement.",[],[],
78,Agreement,user,user,39,1.9 “User” means each individual who accesses the Services at a given point in time whether by a browser or other instrumentality.,[],[],
79,Product,user,user,39,1.9 “User” means each individual who accesses the Services at a given point in time whether by a browser or other instrumentality.,[],[],
80,Person,name,name,40,"For purposes of the restrictions set forth in this Agreement, access to the Services, through common user or login names, is limited to the number of Users as specified in the applicable Order Form 1.10 “Work Product"" means all work-for-hire performed by MetricStream in a statement of work (SOW) for Customer excluding any of MetricStream's Pre-existing Works.",[],[],
81,Agreement,agreement,agreement,40,"For purposes of the restrictions set forth in this Agreement, access to the Services, through common user or login names, is limited to the number of Users as specified in the applicable Order Form 1.10 “Work Product"" means all work-for-hire performed by MetricStream in a statement of work (SOW) for Customer excluding any of MetricStream's Pre-existing Works.",[],[],
82,Agreement,user,user,40,"For purposes of the restrictions set forth in this Agreement, access to the Services, through common user or login names, is limited to the number of Users as specified in the applicable Order Form 1.10 “Work Product"" means all work-for-hire performed by MetricStream in a statement of work (SOW) for Customer excluding any of MetricStream's Pre-existing Works.",[],[],
83,Product,user,user,40,"For purposes of the restrictions set forth in this Agreement, access to the Services, through common user or login names, is limited to the number of Users as specified in the applicable Order Form 1.10 “Work Product"" means all work-for-hire performed by MetricStream in a statement of work (SOW) for Customer excluding any of MetricStream's Pre-existing Works.",[],[],
84,Time,date,date,42,"Metric Stream will provide Cloud Services in accordance with this Agreement and the applicable Order Form and subject to Metric Stream's Acceptable Use Policy, as may be updated by MetricStream upon notice to Customer during the term of this Agreement.","['notice', 'term']","['notice', 'term']","2.0 CLOUD SERVICES 2 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and the applicable Order Form and subject to Metric Stream's Acceptable Use Policy, as may be updated by MetricStream upon notice to Customer during the term of this Agreement.2.2 License to Cloud Application."
85,Time,term,term,42,"Metric Stream will provide Cloud Services in accordance with this Agreement and the applicable Order Form and subject to Metric Stream's Acceptable Use Policy, as may be updated by MetricStream upon notice to Customer during the term of this Agreement.",['order'],['order'],"2.0 CLOUD SERVICES 2 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and the applicable Order Form and subject to Metric Stream's Acceptable Use Policy, as may be updated by MetricStream upon notice to Customer during the term of this Agreement.2.2 License to Cloud Application."
86,Agreement,agreement,accord,42,"Metric Stream will provide Cloud Services in accordance with this Agreement and the applicable Order Form and subject to Metric Stream's Acceptable Use Policy, as may be updated by MetricStream upon notice to Customer during the term of this Agreement.",[],[],
87,Agreement,agreement,agreement,42,"Metric Stream will provide Cloud Services in accordance with this Agreement and the applicable Order Form and subject to Metric Stream's Acceptable Use Policy, as may be updated by MetricStream upon notice to Customer during the term of this Agreement.",[],[],
88,Legal,term,term,42,"Metric Stream will provide Cloud Services in accordance with this Agreement and the applicable Order Form and subject to Metric Stream's Acceptable Use Policy, as may be updated by MetricStream upon notice to Customer during the term of this Agreement.",['order'],['order'],"2.0 CLOUD SERVICES 2 Page  DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and the applicable Order Form and subject to Metric Stream's Acceptable Use Policy, as may be updated by MetricStream upon notice to Customer during the term of this Agreement.2.2 License to Cloud Application."
89,Product,license,license,43,2.2 License to Cloud Application.,[],[],
90,Product,license,license,44,"MetricStream hereby grants to Customer, a non-transferable, non-exclusive license (with no right to sublicense) for MetricStream's Cloud Application as described in the applicable Order Form or SOW.",[],[],
91,Address,address,call,45,Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the applicable Order Form or SOW.,[],[],
92,Time,term,term,46,"In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment terms set forth in the applicable Order Form or SOW.","['order', 'payment']","['order', 'payment']","Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the applicable Order Form or SOW.In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment terms set forth in the applicable Order Form or SOW.2.3 Limitation of Rights."
93,Agreement,agreement,accord,46,"In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment terms set forth in the applicable Order Form or SOW.",[],[],
94,Financial,fee,fee,46,"In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment terms set forth in the applicable Order Form or SOW.","['cloud', 'license']","['cloud', 'license']","Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the applicable Order Form or SOW.In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment terms set forth in the applicable Order Form or SOW.2.3 Limitation of Rights."
95,Product,license,license,46,"In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment terms set forth in the applicable Order Form or SOW.",[],[],
96,Legal,term,term,46,"In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment terms set forth in the applicable Order Form or SOW.","['order', 'payment']","['order', 'payment']","Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the applicable Order Form or SOW.In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment terms set forth in the applicable Order Form or SOW.2.3 Limitation of Rights."
97,Person,owner,owner,48,Customer acknowledges that Customer's rights in and to Cloud Application are solely as set forth in Section 2.2 hereto and do not include any rights of ownership.,[],[],
98,Time,term,term,51,"Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the applicable Order Form or SOW; nor (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine the source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application.",['order'],['order'],"Customer hereby irrevocably assigns to Metric Stream any and all rights Customer may be deemed to have in any changes, modifications or corrections to the Cloud Application, including but not limited to copyrights, and agrees to execute all documents necessary to implement such assignment.Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the applicable Order Form or SOW; nor (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine the source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application.Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application."
99,Legal,term,term,51,"Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the applicable Order Form or SOW; nor (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine the source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application.",['order'],['order'],"Customer hereby irrevocably assigns to Metric Stream any and all rights Customer may be deemed to have in any changes, modifications or corrections to the Cloud Application, including but not limited to copyrights, and agrees to execute all documents necessary to implement such assignment.Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the applicable Order Form or SOW; nor (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine the source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application.Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application."
100,Product,license,license,52,"Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application.",[],[],
101,Agreement,agreement,agreement,53,"Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of MetricStream 2.4 Incidental Expenses.",[],[],
102,Product,license,license,53,"Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of MetricStream 2.4 Incidental Expenses.",[],[],
103,Agreement,agreement,accord,55,"Airfare expenses, which will be at coach fares, and hotel and all other expenses will be reimbursed in accordance with Customer's travel policy.",[],[],
104,Time,term,term,56,3.0 RENEWAL AND TERMINATION 3.1 Renewal.,['renewal'],['renewal'],"Airfare expenses, which will be at coach fares, and hotel and all other expenses will be reimbursed in accordance with Customer's travel policy.3.0 RENEWAL AND TERMINATION 3.1 Renewal.If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term."
105,Time,termination,termination,56,3.0 RENEWAL AND TERMINATION 3.1 Renewal.,[],[],
106,Agreement,renewal,renewal,56,3.0 RENEWAL AND TERMINATION 3.1 Renewal.,[],[],
107,Legal,term,term,56,3.0 RENEWAL AND TERMINATION 3.1 Renewal.,['renewal'],['renewal'],"Airfare expenses, which will be at coach fares, and hotel and all other expenses will be reimbursed in accordance with Customer's travel policy.3.0 RENEWAL AND TERMINATION 3.1 Renewal.If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term."
108,Time,days,days,57,"If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term.",[],[],
109,Time,term,term,57,"If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term.",['renewal'],['renewal'],"3.0 RENEWAL AND TERMINATION 3.1 Renewal.If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term.3.2 Termination."
110,Agreement,agreement,agreement,57,"If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term.",[],[],
111,Agreement,renewal,renewal,57,"If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term.",[],[],
112,Legal,term,term,57,"If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term.",['renewal'],['renewal'],"3.0 RENEWAL AND TERMINATION 3.1 Renewal.If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term.3.2 Termination."
113,Time,term,term,58,3.2 Termination.,['renewal'],['renewal'],"If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term.3.2 Termination.Either Party may terminate this Agreement upon written notice to the other Party: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other Party; or (b) if the other Party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof."
114,Time,termination,termination,58,3.2 Termination.,[],[],
115,Legal,term,term,58,3.2 Termination.,['renewal'],['renewal'],"If applicable, upon upon expiration of the Initial Term, this Agreement will renew in writing for successive terms specified in the Agreement, unless either Party sends the other Party notice of non-renewal at least sixty (60) days before the end of the then current term.3.2 Termination.Either Party may terminate this Agreement upon written notice to the other Party: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other Party; or (b) if the other Party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof."
116,Time,days,days,59,"Either Party may terminate this Agreement upon written notice to the other Party: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other Party; or (b) if the other Party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.","['30', '30']","['thirty', '30']","3.2 Termination.Either Party may terminate this Agreement upon written notice to the other Party: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other Party; or (b) if the other Party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.Such termination right is in addition to, and not in limitation of, any other remedies available to either Party."
117,Time,term,term,59,"Either Party may terminate this Agreement upon written notice to the other Party: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other Party; or (b) if the other Party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.",[],[],
118,Agreement,agreement,agreement,59,"Either Party may terminate this Agreement upon written notice to the other Party: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other Party; or (b) if the other Party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.",[],[],
119,Agreement,breach,breach,59,"Either Party may terminate this Agreement upon written notice to the other Party: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other Party; or (b) if the other Party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.",[],[],
120,Legal,term,term,59,"Either Party may terminate this Agreement upon written notice to the other Party: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other Party; or (b) if the other Party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.",[],[],
121,Time,term,term,60,"Such termination right is in addition to, and not in limitation of, any other remedies available to either Party.",[],[],
122,Time,termination,termination,60,"Such termination right is in addition to, and not in limitation of, any other remedies available to either Party.",[],[],
123,Legal,term,term,60,"Such termination right is in addition to, and not in limitation of, any other remedies available to either Party.",[],[],
124,Time,term,term,61,3.3 Termination by Customer.,[],[],
125,Time,termination,termination,61,3.3 Termination by Customer.,[],[],
126,Legal,term,term,61,3.3 Termination by Customer.,[],[],
127,Time,days,days,62,"After the Initial Term, Customer may terminate this Agreement without cause with 30 days prior notice to MetricStream.",['30'],['30'],"3.3 Termination by Customer.After the Initial Term, Customer may terminate this Agreement without cause with 30 days prior notice to MetricStream.3.4 Effects of Termination."
128,Time,term,term,62,"After the Initial Term, Customer may terminate this Agreement without cause with 30 days prior notice to MetricStream.",[],[],
